id,name,default_code,type,is_storable,categ_id/id,uom_id/id,uom_po_id/id,tracking,weight,volume,purchase_ok,sale_ok,standard_price
somgreen.prod_pm_box_001,Carton Box 8-pack,PM-BOX-001,consu,1,somgreen_mrp.categ_raw,uom.product_uom_unit,uom.product_uom_unit,none,0.25,0.004,1,0,0.00
somgreen.prod_pm_tap_001,BOPP Tape 48mm,PM-TAP-001,consu,1,somgreen_mrp.categ_raw,uom.product_uom_meter,somgreen_mrp.uom_tape_roll_100m,none,0.0015,0.000002,1,0,0.00
somgreen.prod_pm_lbl_001,Product Label - Toilet Tissue 2ply 200s,PM-LBL-001,consu,1,somgreen_mrp.categ_raw,uom.product_uom_unit,uom.product_uom_unit,none,0.001,0.000001,1,0,0.00
somgreen.prod_pm_str_001,Pallet Stretch Wrap,PM-STR-001,consu,1,somgreen_mrp.categ_raw,uom.product_uom_kgm,uom.product_uom_kgm,none,1.0,0.0012,1,0,0.00
